billing_date,cust_id,product_id,revenue,active_users,total_logins,api_calls,storage_used_gb,support_tickets,response_time_hrs,feature_usage_score,customer_satisfaction,training_sessions,integration_count,data_processed_tb,uptime_percentage,performance_score,target
2023-01-31,CUST_0001,prod_01,829.9361383266249,85,994,6290,64.73049777373174,0,24.66081956696396,0.975279621468951,3.4198332045601934,3,5,1.3584856108529857,98.12235557183874,0.9109263559775136,0
2023-02-28,CUST_0001,prod_01,487.2342867066215,100,977,8587,67.9148298178186,8,24.298426908790557,0.8162200216760599,3.5346661267889177,5,10,9.46159721399436,98.62197478142386,0.802115081818966,0
2023-03-31,CUST_0001,prod_01,849.5395783559218,39,462,5091,24.77393059229888,8,0.6989821983845869,0.8059145529659199,4.239273842344363,4,10,2.901051865903611,98.17147664189432,0.7205376018435841,0
2023-04-30,CUST_0001,prod_01,942.5952676928188,23,85,8328,9.15527627794105,3,32.57548704960232,0.914613745746685,4.34194144259323,4,3,9.151202173282078,98.89971535725763,0.7283587394794409,0
2023-05-31,CUST_0001,prod_01,827.876413352409,56,196,7259,87.72317462373928,10,44.22527052210318,0.7323215523697717,3.813372631340431,4,8,6.897220148094581,98.56054761759974,0.7426618229602808,0
2023-06-30,CUST_0001,prod_01,216.34024340839025,49,647,1684,95.82780252016052,0,1.6621754450247543,0.2421367010897124,4.399689396184222,5,6,1.8832142849006115,98.15434727865696,0.950658175438974,0
2023-07-31,CUST_0001,prod_01,755.3963954272342,17,753,6154,46.49388534919917,8,36.10419820167449,0.4583611995128489,4.813401640066717,1,8,2.303865359434603,99.70493527190897,0.8139547949381063,0
2023-08-31,CUST_0001,prod_01,806.7713192736431,35,402,1357,82.35500780914086,4,5.434742743436524,0.5588095734342253,4.345178455156382,3,2,4.101179534444131,99.3023444899425,0.9389050498498844,0
2023-09-30,CUST_0001,prod_01,230.75172994993287,11,673,9790,6.324959119756862,8,44.33288337597053,0.2098651543363293,4.887284227948022,3,6,1.6000562410410335,99.62935696813956,0.7232995474685915,0
2023-10-31,CUST_0001,prod_01,315.63003842221906,98,109,6073,4.840270850293406,5,37.365312441856815,0.8741623169511652,3.4493483878474342,2,2,6.147822324322391,99.62078139566265,0.9800155131658228,1
